Smiles,qed_molReward,CATS_EuclidReward,MACCS_TanimotoReward,Reward,qed_molProperty,CATS_EuclidProperty,MACCS_TanimotoProperty,Epoch
C1=CC(c2cc(-c3csc(-c4ccc(C5CCCC5)cc4)n3)on2)NC(CN2CCC(CCC3NC(C4CCOCC4)NO3)CC2)C1,-0.5460894353612566,-33.51635264103861,-0.0,-34.06244207639986,0.2039105646387434,26.758176320519304,0.3488372093023256,200
O=C1NN(NCCN2CCNC2c2coc(Cc3cccc(-c4ccoc4)c3)c2)C1CC1CC1,-0.32212781490724846,-38.88972745734183,-0.0,-39.211855272249075,0.42787218509275154,29.444863728670914,0.35714285714285715,200
O=C(C1CCOC1)N1CCC(OC2NOC(C3CNCCN3)N2)CC1c1nc(-c2ccc(Cc3ccco3)c(Cl)c2)cs1,-0.45383858863569776,-71.82592226599198,-0.0,-72.27976085462768,0.29616141136430224,45.91296113299599,0.38461538461538464,200
CC(F)(c1ccc(C2CNCCC2CN2CNNC2C2CCCN2C(=O)CC2CCNCC2)cc1)c1ccc(-c2cscn2)s1,-0.48708715857127904,-38.82176467941097,-0.0,-39.308851837982246,0.26291284142872096,29.410882339705484,0.29411764705882354,200
CNCc1ccc(C2(c3coc(-c4ccon4)c3)C=CCC(C3=CCC(N4CCOCC4)NN3)C2)s1,-0.33622394091913715,-42.57795138864806,-0.0,-42.9141753295672,0.41377605908086285,31.28897569432403,0.36470588235294116,200
Cc1cc(-c2ccc(-c3coc(C4CCCCN5C(=O)N(CC6CC6)NC45)c3)s2)no1,-0.15870115034304577,-33.81449618829484,-0.0,-33.97319733863789,0.5912988496569542,26.90724809414742,0.35714285714285715,200
O=C(NC1CCCC1C(=O)N1CCc2ccccc2C1)C1=CC=C[SH]1c1ccc(Cc2ccc(-c3cccs3)s2)s1,-0.5414454770786578,-43.340350488452465,-0.0,-43.881795965531126,0.20855452292134222,31.670175244226233,0.35526315789473684,200
Oc1ccc(-c2ccc(-c3csc(C4C5CNCC4CNC5)n3)s2)cc1,-0.10554441866386122,-37.30619512757761,-0.0,-37.41173954624147,0.6444555813361388,28.653097563788805,0.3235294117647059,200
O=C1NC(=O)C2NCC(=O)C2(N2CCOCC2c2ccc(-c3ccc(CC(F)c4ccco4)s3)c(Cl)c2)N1,-0.3249212314449847,-67.7040477971228,-0.0,-68.02896902856779,0.4250787685550153,43.8520238985614,0.4186046511627907,200
CC(F)C=Cc1ccc(-c2ccc(C3CN(C4CCCCN4)CCN3C(=O)CC3COc4ccccc4NC3=O)cc2)cc1,-0.4022863269567353,-74.91048414163738,-0.0,-75.31277046859412,0.3477136730432647,47.45524207081869,0.4864864864864865,200
O=C(NCC1CCCO1)C1CCN(C2CNC(N3CCNCC3)NC2)CC1c1ccc(C2CCCC2c2ccc(-c3cccs3)c(Cl)c2)s1,-0.5218451395381166,-55.86830695356264,-0.0,-56.39015209310075,0.22815486046188335,37.93415347678132,0.37349397590361444,200
CC1CCCCC1c1ccc(-c2ccc(C3(C(C)F)CCCC34C(C(=O)NCC3CCCN3)c3ccccc3C(=O)N4C3C=CC=CC3)cc2Cl)cc1Cl,-0.5100403678508987,-46.12110101926616,-0.0,-46.63114138711706,0.23995963214910138,33.06055050963308,0.35,200
c1cc(C2CCCCC2)ccc1-c1nc(-c2csc(C3NCCCC3CN3CNC4CCCNC43)n2)cs1,-0.39683578560947685,-38.65151319446072,-0.0,-39.048348980070195,0.35316421439052315,29.32575659723036,0.3157894736842105,200
CC(F)c1cc(-c2cc(-c3ccc(C4C(CCCN5CCCO5)CCCN4C(=O)C4CCOC4)cc3)on2)on1,-0.4192277789689042,-49.65629906907199,-0.0,-50.075526848040894,0.3307722210310958,34.828149534535996,0.37349397590361444,200
CNCc1coc(-c2cc(-c3csc(C4CCCC5NNC(=O)CC54)n3)co2)c1,-0.15767623417837062,-27.32863826479693,-0.0,-27.4863144989753,0.5923237658216294,23.664319132398465,0.37662337662337664,200
CC(F)(c1ccno1)c1nc(-c2ccc(C3CNCCC3CN3CNNC3C3CCCN3C(=O)CC3CCNCC3)s2)cs1,-0.47326510489216417,-46.81317235396027,-0.0,-47.28643745885243,0.27673489510783583,33.406586176980134,0.3146067415730337,200
O=C(CC1CCNCC1)N1CCCC1C1NNCN1CC1CCNCC1(c1nccs1)c1ccc(-c2ccc(CCF)cc2)cc1Cl,-0.5083509752714654,-75.47774609824009,-0.0,-75.98609707351156,0.2416490247285346,47.738873049120045,0.28735632183908044,200
