Smiles,qed_molReward,CATS_CosineReward,MACCS_TanimotoReward,Reward,qed_molProperty,CATS_CosineProperty,MACCS_TanimotoProperty,Epoch
COCC1(c2ccc(-c3coc(C#N)c3)cc2)CCCCN2C(=O)N(CC3CC3)NC21,-0.0,-0.0,-0.0,0.0,0.7673218539191172,0.8992807586223163,0.4125,200
O=C(C1CNN(C2CC(c3ncno3)CCN2)C1)N1CCCC1c1coc(C=Cc2ccc(C3CC3)cc2)c1,-0.28169363369771383,-0.0,-0.0,-0.28169363369771383,0.46830636630228617,0.8817850343783291,0.32142857142857145,200
C=CC=CC1(c2ccccc2-c2ccccn2)NCCN1CCNN1NC(=O)C1CC1CC1,-0.26050907201580115,-0.0,-0.0,-0.26050907201580115,0.48949092798419885,0.9124070829153115,0.3176470588235294,200
COCCc1ccc(C2(C3CC3)C3CNCC2CNC3)cc1-c1nnco1,-0.0,-0.0,-0.0,0.0,0.812734778831104,0.8257348219555958,0.3424657534246575,200
C=CC1(c2cc(-c3cccc(C4CC4)c3)ccn2)NCCCC1CN1CNC2CCCNC21,-0.15945096076718823,-0.0,-0.0,-0.15945096076718823,0.5905490392328118,0.9230268171236726,0.3116883116883117,200
C=Cc1cc(C2(c3nnco3)CNCCC2CN2CNNC2C2CCCN2C(=O)CC2CCNCC2)ccc1C(C)F,-0.39404477311634417,-0.0,-0.0,-0.39404477311634417,0.35595522688365583,0.8193315343172098,0.3409090909090909,200
COCCC1(C2CC2)CN(c2ccccc2)CCN1C1=NCCN1C(=O)c1ccccc1,-0.0489491837989765,-0.0,-0.0,-0.0489491837989765,0.7010508162010235,0.8154507896927539,0.4166666666666667,200
N#CC1(C2CC2)CN(c2ccccc2)CCN1C1=NCCN1C(=O)c1ccccc1,-0.0,-0.0,-0.0,0.0,0.7960552728417509,0.8186721730162889,0.3055555555555556,200
C=Cc1cc(-c2coc(C3(c4ccoc4)C=CCC(C4NCCN5CCNC45)C3)c2)on1,-0.15377326312740258,-0.0,-0.0,-0.15377326312740258,0.5962267368725974,0.9315026688363762,0.3611111111111111,200
N#Cc1ccc(S2(C3CCOC3)C(NC(=O)CC3(N4CC=CC4)CCOCC3)NNC2C2CCCCC2)cc1-c1cccs1,-0.4185658177180739,-0.0,-0.0,-0.4185658177180739,0.3314341822819261,0.8384924115977619,0.33707865168539325,200
