Smiles,CATS_CosineReward,QEDReward,Tanimoto_map4Reward,Reward,CATS_CosineProperty,QEDProperty,Tanimoto_map4Property,Epoch
C=CC=Cc1ccc(-c2ccco2)cc1[SH]1C(NC(=O)CC2(N3CC=CC3)CCOCC2)NNC1C1CCCCC1,-0.0,0.17353065933728157,-0.5492187500000001,-0.3756880906627185,0.8509916037307829,0.17353065933728157,0.974609375,200
C1=CCC2(C3CCOC3)CCN(c3cc(-c4ccccc4-c4ccoc4)no3)C2C1,-0.0,0.5354082305731361,-0.5453125000000001,-0.009904269426863954,0.9451588259799133,0.5354082305731361,0.97265625,200
C=Cc1cccc(-c2ccc(N3CCC(C4C5CNCC4CNC5)C(O)C3)cc2)c1,-0.0,0.7335777043677307,-0.5296875000000001,0.20389020436773064,0.8485950079124561,0.7335777043677307,0.96484375,200
C=Cc1cccc(C2(OC(C)(C)c3ccco3)C=CCC(CN3CCNc4ccccc43)C2)c1,-0.0,0.3913434573089253,-0.5218750000000001,-0.1305315426910748,0.9174083989352287,0.3913434573089253,0.9609375,200
C=Cc1cc(C2CC(N3CNNN3)CC=C2C(=O)NC2=CCC3NC(=O)C4CCCN4C(=O)C3C2)ccc1-c1ccccc1-c1ccoc1,-0.0,0.2563499010482995,-0.5570312500000001,-0.30068134895170057,0.9309651200511855,0.2563499010482995,0.978515625,200
O=C(COc1ccccc1)N1CC(C2NCON2)C2(CCOCC2)C1(C=Cc1ccccc1)C=Cc1ccccc1,-0.17875895673684727,0.4153858309976104,-0.5218750000000001,-0.28524812573923697,0.7106205216315764,0.4153858309976104,0.9609375,200
C=Cc1cccc(-c2ccccc2C2(c3ccccc3)CC(N3CNNN3)CC=C2C(=O)NC2=CCC3NC(=O)C4CCCN4C(=O)C3C2)c1,-0.0,0.2578081819855816,-0.5414062500000001,-0.2835980680144185,0.8896459957877512,0.2578081819855816,0.970703125,200
C=Cc1ccccc1-c1ccccc1C1(C=C)CC(N2CNNN2)CC=C1C(=O)NC1=CCC2NC(=O)C3CCCN3C(=O)C2C1,-0.0,0.30244481960214253,-0.5394531250000001,-0.23700830539785755,0.8064871621426418,0.30244481960214253,0.9697265625,200
C=Cc1ccc(C=C)c(S2(C=C)C=CC=C2C(=O)NC2CCCC2C(=O)N2CCc3ccccc3C2)c1,-0.012418827624704143,0.45854972495196755,-0.5355468750000001,-0.08941597767273668,0.793790586187648,0.45854972495196755,0.9677734375,200
C=Cc1ccccc1C1(C2CCN(C=C)CC2)C=CCC(CN2CCNc3ccccc32)C1,-0.0,0.5313368625480236,-0.4964843750000001,0.0348524875480235,0.810198322165288,0.5313368625480236,0.9482421875,200
C=Cc1nc(C2(C=CC3CCNCC3)CN(c3ccccc3)CCN2C2=NCCN2C(=O)c2ccccc2)cs1,-0.0,0.44230111168917946,-0.5335937500000001,-0.09129263831082063,0.8808173360151476,0.44230111168917946,0.966796875,200
C=CC=CC1(c2cccc(C=C)c2)N(C(=O)COc2ccccc2)CC(C2NCON2)C12CCOCC2,-0.0,0.532939457345226,-0.5238281250000001,0.009111332345225875,0.8174512237714281,0.532939457345226,0.9619140625,200
C=CN1CCCC(S2(c3ccccc3-c3ccco3)C=CC=C2C(=O)NC2CCCC2C(=O)N2CCc3ccccc3C2)C1,-0.0,0.3142494608151716,-0.5277343750000001,-0.2134849141848285,0.8994618174145462,0.3142494608151716,0.9638671875,200
C=Cc1ccc(C2(C=Cc3ccccc3)CCCCC3C(C(=O)NCCC4CCCC4=O)NC(c4ccccc4)N32)cc1,-0.0,0.28860857753491215,-0.5316406250000001,-0.24303204746508794,0.9367958807550515,0.28860857753491215,0.9658203125,200
C=CN1CCC(C=Cc2cccc(C3C4CC(c5ccccc5)NN4CCCN3C(=O)CCS(=O)(=O)C3=CC=CC4NCCC4C3)c2)CC1,-0.0,0.3476319913973647,-0.5218750000000001,-0.17424300860263536,0.832114015915687,0.3476319913973647,0.9609375,200
C=CC=Cc1cc(C23CC=CCC2N(c2ccc4c(c2)OCO4)CC3)co1,-0.0,0.5621916238488851,-0.5492187500000001,0.012972873848885014,0.8356941914051599,0.5621916238488851,0.974609375,200
C=Cc1cc(C2(c3ccco3)CN(C3CNC(N4CCNCC4)NC3)CCC2C(=O)NCC2CCCO2)ccc1-c1ccccc1,-0.0,0.28860991159702737,-0.5394531250000001,-0.2508432134029727,0.9140105897261411,0.28860991159702737,0.9697265625,200
C=CN1CCCC(c2cc(C3(C=C)C=CCC(CN4CCNc5ccccc54)C3)co2)C1,-0.0,0.577336556238583,-0.4847656250000001,0.09257093123858295,0.8130104947614536,0.577336556238583,0.9423828125,200
C=Cc1ccc(-c2ccco2)cc1C1(C=C)C2CC(c3ccccc3)NN2CCCN1C(=O)CCS(=O)(=O)C1=CC=CC2NCCC2C1,-0.0,0.26522948357730086,-0.5433593750000001,-0.2781298914226992,0.9335258484639841,0.26522948357730086,0.9716796875,200
C=Cc1ccc(C=C)c(C2(c3ccccc3)C=CCC(CN3CCC(CCC4NC(C5CCOCC5)NO4)CC3)N2)c1,-0.0,0.31379176514683144,-0.5335937500000001,-0.21980198485316865,0.9294218452102961,0.31379176514683144,0.966796875,200
C=CC1(c2cccc(-c3ccc(C4CCNCC4)cc3)c2)C2CNCC1CNC2,-0.0,0.7006031167856249,-0.5394531250000001,0.16114999178562484,0.8914148328371664,0.7006031167856249,0.9697265625,200
C=CC=CC1(C2CCCC2C=C)CN(c2ccccc2)CCN1C1=NCCN1C(=O)c1ccccc1,-0.01874942911610966,0.4103045835022239,-0.5023437500000001,-0.11078859561388588,0.7906252854419452,0.4103045835022239,0.951171875,200
C=Cc1ccc(N2CCCC(C3(C=C)CN(c4ccccc4)CCN3C3=NCCN3C(=O)c3ccccc3)C2)cc1,-0.0,0.3671324049878201,-0.4828125000000001,-0.11568009501217996,0.8189294382471414,0.3671324049878201,0.94140625,200
C=Cc1ccccc1C1(N2CCCC(c3ccccc3)C2)CCCC12C(C(=O)NCC1CCCN1)c1ccccc1C(=O)N2C1C=CC=CC1,-0.0,0.26465190120187015,-0.5082031250000001,-0.24355122379812993,0.8210729125988466,0.26465190120187015,0.9541015625,200
C=Cc1ccc(-c2coc(N3CCC(C4CCCCN5C(=O)N(CC6CC6)NC45)CC3)c2)cc1,-0.0,0.6110475092647353,-0.5277343750000001,0.08331313426473519,0.8439455642120921,0.6110475092647353,0.9638671875,200
C=Cc1ccc(N2CCCC(N3CCC4(c5ccco5)CC=CCC34)C2)cc1,-0.24363559080664943,0.6812719275147391,-0.4203125000000001,0.01732383670808957,0.6781822045966753,0.6812719275147391,0.91015625,200
C=Cc1ccc(C2(C=C)C=CCC(CN3CCC(CCC4NC(C5CCOCC5)NO4)CC3)N2)c(-c2ccccc2)c1,-0.0,0.3062601390347045,-0.5277343750000001,-0.22147423596529558,0.904844485617143,0.3062601390347045,0.9638671875,200
C=CC1(C=Cc2coc(-c3ccccc3)c2)N(C(=O)COc2ccccc2)CC(C2NCON2)C12CCOCC2,-0.0,0.4025525874244473,-0.5433593750000001,-0.14080678757555282,0.8327981929147918,0.4025525874244473,0.9716796875,200
C=CC1(C=Cc2cc(-c3ccco3)on2)C=CCC(C2=CCC(N3CCOCC3)NN2)C1,-0.0,0.6623766090844445,-0.5687500000000001,0.09362660908444442,0.8317833785455794,0.6623766090844445,0.984375,200
C=Cc1ccc(-c2cc(C3C=CCC(CN4CCC(CCC5NC(C6CCOCC6)NO5)CC4)N3)co2)c(-c2ccccc2)c1,-0.0,0.21616514665579842,-0.5316406250000001,-0.31547547834420164,0.9606131043700524,0.21616514665579842,0.9658203125,200
C=Cc1cc(C=CC2(C=C)NCCC3C(=O)NC(c4ccccc4)NC32)co1,-0.10501061362769248,0.702081188448214,-0.5667968750000001,0.030273699820521416,0.7474946931861538,0.702081188448214,0.9833984375,200
C=Cc1ccc(C2(c3nnco3)CC2CN2CCNC2CCC2CCCN2C(=O)CCN2CCCN2)cc1-c1ccccc1,-0.0,0.32078161724812715,-0.5082031250000001,-0.18742150775187294,0.943109640019659,0.32078161724812715,0.9541015625,200
C=Cc1coc(-c2ccc(C3(c4ccco4)CC3CN3CCNC3CCC3CCCN3C(=O)CCN3CCCN3)cc2)c1,-0.0,0.3076212208511364,-0.5238281250000001,-0.21620690414886368,0.933934156722724,0.3076212208511364,0.9619140625,200
C=Cc1coc(-c2cc(C3(c4ccccc4)CC(OC4NOC(C5CNCCN5)N4)CCN3C(=O)C3CCOC3)co2)c1,-0.0,0.31210042175716207,-0.5277343750000001,-0.21563395324283802,0.9053131996507032,0.31210042175716207,0.9638671875,200
O=C(CC1(N2CC=CC2)CCOCC1)NC1NNC(C2CCCCC2)[SH]1C1CCN(c2ccc(-c3ccccc3)cc2)CC1c1ccccc1,-0.0,0.14393742627761813,-0.5199218750000001,-0.37598444872238196,0.93792957618378,0.14393742627761813,0.9599609375,200
C=Cc1ccc(-c2ccc(C3COCCN3C34NC(=O)NC(=O)C3NCC4=O)cc2C=C)cc1,-0.0,0.634683202839485,-0.5453125000000001,0.0893707028394849,0.8571712010619622,0.634683202839485,0.97265625,200
C=Cc1ccccc1C1CCN(C2CSCCN2C(=O)CCNC2C(c3ccccc3)NC3CNCCN32)CC1C=C,-0.11345822432232633,0.3876006455257345,-0.5414062500000001,-0.26726382879659194,0.7432708878388369,0.3876006455257345,0.970703125,200
C=Cc1coc(C2(C=Cc3ccccc3)C3CNCC2CNC3)c1,-0.0,0.9073703774725774,-0.5433593750000001,0.36401100247257734,0.8445063445192024,0.9073703774725774,0.9716796875,200
